id_nodo,gas,temperatura,distancia,tiempo,tipo
9,305,453,0,2023-04-13 22:43:44Z,roja
8,125,11,7,2023-03-15 14:48:41Z,verde
4,121,143,43,2023-03-28 10:57:06Z,roja
9,487,244,22,2023-02-11 17:22:34Z,roja
7,24,115,8,2023-01-25 05:27:30Z,roja
1,193,112,35,2023-04-29 05:16:45Z,roja
4,200,130,38,2023-01-20 06:04:19Z,roja
1,440,84,20,2023-03-09 06:43:38Z,amarilla
2,84,179,6,2023-03-19 17:09:17Z,roja
8,85,126,29,2023-02-22 01:11:26Z,roja
8,309,107,2,2023-03-11 15:58:02Z,roja
5,29,220,34,2023-01-04 14:18:10Z,roja
6,294,66,31,2023-04-26 19:38:27Z,amarilla
8,201,20,15,2023-03-13 04:28:17Z,verde
6,246,12,21,2023-03-31 01:32:08Z,verde
9,489,33,16,2023-04-22 16:09:22Z,verde
1,286,201,35,2023-03-26 00:07:40Z,roja
2,292,106,46,2023-03-07 02:34:53Z,roja
6,380,79,36,2023-02-01 05:46:08Z,amarilla
9,467,101,43,2023-01-05 08:30:00Z,roja
2,200,124,19,2023-01-02 03:03:46Z,roja
8,108,76,12,2023-04-26 17:51:53Z,amarilla
1,331,67,8,2023-03-22 01:13:22Z,amarilla
1,360,180,47,2023-04-14 05:36:05Z,roja
1,13,176,10,2023-04-04 08:44:07Z,roja
7,424,126,33,2023-04-09 11:00:32Z,roja
5,469,152,34,2023-01-05 20:37:16Z,roja
8,252,40,1,2023-02-25 06:50:37Z,verde
5,81,102,19,2023-01-26 09:08:04Z,roja
7,168,20,9,2023-01-13 08:50:29Z,verde
3,443,199,16,2023-04-06 00:43:41Z,roja
4,324,149,18,2023-03-18 15:13:08Z,roja
1,160,54,36,2023-02-03 04:29:46Z,amarilla
2,225,220,40,2023-04-16 13:06:20Z,roja
9,335,51,46,2023-03-27 16:09:15Z,amarilla
0,485,98,49,2023-01-10 17:32:12Z,amarilla
7,254,221,37,2023-04-10 18:36:01Z,roja
1,365,89,46,2023-02-11 10:45:36Z,amarilla
0,233,107,49,2023-04-17 12:21:46Z,roja
9,252,64,43,2023-04-26 20:20:37Z,amarilla
0,241,220,48,2023-01-17 09:05:26Z,roja
3,60,172,38,2023-04-13 20:05:38Z,roja
3,400,146,41,2023-02-26 11:52:15Z,roja
9,197,11,12,2023-04-20 09:56:41Z,verde
5,254,179,47,2023-01-24 00:26:32Z,roja
8,309,242,46,2023-02-06 21:35:32Z,roja
6,212,103,30,2023-03-14 22:40:41Z,roja
9,390,51,49,2023-03-05 06:51:48Z,amarilla
4,255,179,8,2023-04-29 02:00:06Z,roja
4,50,239,33,2023-03-11 09:26:50Z,roja
3,344,56,40,2023-02-06 09:17:39Z,amarilla
4,88,128,38,2023-02-22 00:34:40Z,roja
1,188,72,13,2023-04-13 16:27:22Z,amarilla
6,158,85,26,2023-01-24 18:35:47Z,amarilla
1,224,239,10,2023-04-06 22:26:15Z,roja
9,90,214,45,2023-01-07 12:34:12Z,roja
0,444,244,42,2023-04-19 18:47:05Z,roja
0,105,245,19,2023-03-20 21:28:54Z,roja
5,273,216,16,2023-02-03 17:02:12Z,roja
2,16,166,39,2023-04-23 01:37:27Z,roja
3,323,244,1,2023-03-19 20:39:43Z,roja
9,242,82,43,2023-03-10 12:02:03Z,amarilla
1,52,115,5,2023-04-13 22:24:17Z,roja
4,218,39,24,2023-01-30 02:08:32Z,verde
2,243,131,18,2023-01-10 11:05:24Z,roja
9,331,167,8,2023-03-05 00:41:19Z,roja
3,283,245,42,2023-01-12 06:55:53Z,roja
9,169,162,48,2023-03-01 20:53:11Z,roja
5,13,173,5,2023-01-10 13:06:50Z,roja
5,199,73,18,2023-01-27 09:47:28Z,amarilla
1,246,137,26,2023-03-09 12:46:24Z,roja
2,342,90,41,2023-04-28 05:22:47Z,amarilla
0,333,205,13,2023-01-15 15:29:23Z,roja
5,461,74,3,2023-03-07 00:33:03Z,amarilla
0,258,88,30,2023-02-17 09:33:05Z,amarilla
1,307,150,11,2023-02-06 09:06:54Z,roja
5,188,121,36,2023-04-21 15:22:14Z,roja
6,463,133,0,2023-03-03 06:04:49Z,roja
2,398,187,24,2023-02-09 16:08:55Z,roja
9,115,14,43,2023-03-20 11:52:42Z,verde
2,494,153,16,2023-02-06 20:48:49Z,roja
9,469,39,7,2023-02-23 08:40:05Z,verde
1,387,62,47,2023-03-17 14:34:55Z,amarilla
2,377,188,9,2023-01-02 09:13:07Z,roja
7,441,210,28,2023-03-03 01:31:02Z,roja
2,264,174,32,2023-02-11 06:10:15Z,roja
0,88,221,47,2023-02-01 07:16:51Z,roja
4,111,170,29,2023-01-09 02:31:23Z,roja
3,370,208,10,2023-02-14 01:56:55Z,roja
4,289,177,24,2023-03-08 18:11:44Z,roja
4,62,117,30,2023-04-01 04:03:43Z,roja
1,70,21,45,2023-01-08 22:13:53Z,verde
0,99,53,17,2023-03-11 12:43:12Z,amarilla
3,156,53,25,2023-03-31 06:43:52Z,amarilla
5,453,86,42,2023-03-19 16:12:31Z,amarilla
5,500,56,0,2023-02-18 14:29:58Z,amarilla
1,498,57,33,2023-03-05 05:54:10Z,amarilla
4,68,76,34,2023-03-29 21:00:58Z,amarilla
2,299,107,36,2023-03-30 20:06:22Z,roja
8,391,118,29,2023-04-26 04:58:35Z,roja
5,452,239,32,2023-03-26 20:34:58Z,roja
5,27,93,41,2023-04-06 11:02:04Z,amarilla
7,72,50,19,2023-01-19 21:47:00Z,amarilla
3,423,13,36,2023-01-13 04:11:47Z,verde
2,163,219,42,2023-01-18 09:29:33Z,roja
9,90,91,46,2023-02-07 17:37:11Z,amarilla
6,240,47,32,2023-01-10 09:50:51Z,verde
0,131,131,33,2023-02-07 18:23:30Z,roja
4,76,247,12,2023-01-20 20:26:10Z,roja
5,368,39,20,2023-02-28 07:06:42Z,verde
1,56,183,17,2023-03-17 10:48:46Z,roja
2,128,216,2,2023-04-10 05:57:25Z,roja
5,483,155,33,2023-04-16 07:04:24Z,roja
5,86,20,32,2023-04-07 05:00:20Z,verde
3,483,112,42,2023-02-23 11:51:43Z,roja
4,392,14,39,2023-04-25 12:29:42Z,verde
5,341,208,46,2023-01-24 09:43:24Z,roja
8,463,88,36,2023-01-06 20:33:32Z,amarilla
9,491,206,26,2023-01-05 06:26:50Z,roja
6,151,178,12,2023-03-03 07:25:58Z,roja
1,183,202,35,2023-01-28 12:36:08Z,roja
6,262,162,35,2023-03-20 09:27:57Z,roja
9,101,200,18,2023-04-04 08:15:06Z,roja
8,475,178,14,2023-02-07 01:54:13Z,roja
4,496,42,35,2023-04-07 15:02:31Z,verde
7,28,228,2,2023-04-13 17:15:51Z,roja
7,435,237,45,2023-02-13 02:24:03Z,roja
1,323,128,30,2023-01-10 12:36:03Z,roja
6,100,27,29,2023-02-02 04:10:57Z,verde
3,76,161,47,2023-04-17 06:56:07Z,roja
4,368,123,29,2023-02-01 15:41:15Z,roja
2,483,54,39,2023-04-03 18:13:51Z,amarilla
1,164,112,9,2023-01-16 15:18:06Z,roja
5,191,165,19,2023-03-21 21:30:16Z,roja
3,49,64,30,2023-01-15 11:07:52Z,amarilla
2,25,152,2,2023-01-10 12:02:55Z,roja
0,175,78,25,2023-02-16 03:17:21Z,amarilla
4,286,32,26,2023-03-03 12:47:58Z,verde
3,317,153,11,2023-03-16 19:57:14Z,roja
4,98,217,43,2023-03-14 02:57:35Z,roja
2,183,176,6,2023-03-05 00:28:08Z,roja
6,274,84,28,2023-01-20 12:25:23Z,amarilla
7,144,162,36,2023-03-18 21:40:01Z,roja
4,243,239,24,2023-03-01 07:55:44Z,roja
5,311,68,1,2023-01-05 22:25:09Z,amarilla
5,125,90,8,2023-04-06 08:31:27Z,amarilla
8,338,196,24,2023-03-20 00:06:26Z,roja
1,288,92,13,2023-03-13 20:41:34Z,amarilla
0,223,190,45,2023-02-10 12:32:12Z,roja
6,244,43,7,2023-03-07 07:23:03Z,verde
5,410,17,43,2023-03-04 18:36:44Z,verde
2,262,148,35,2023-03-31 16:34:52Z,roja
0,405,116,32,2023-02-24 08:23:10Z,roja
0,281,216,8,2023-02-25 00:45:34Z,roja
3,181,91,27,2023-04-09 13:41:28Z,amarilla
8,100,136,1,2023-04-16 07:15:21Z,roja
6,83,92,5,2023-03-10 05:34:07Z,amarilla
6,159,54,23,2023-04-17 12:48:28Z,amarilla
9,194,243,24,2023-02-20 02:25:19Z,roja
2,118,207,20,2023-03-27 22:26:53Z,roja
6,368,148,49,2023-02-19 10:43:31Z,roja
5,354,113,1,2023-01-10 18:27:41Z,roja
6,443,174,18,2023-02-28 18:49:01Z,roja
0,451,154,25,2023-02-20 16:58:35Z,roja
5,390,72,45,2023-03-22 21:37:26Z,amarilla
7,333,242,3,2023-01-06 22:53:41Z,roja
3,422,70,7,2023-03-09 09:44:42Z,amarilla
1,395,114,45,2023-03-11 03:54:23Z,roja
7,95,177,12,2023-02-12 15:01:40Z,roja
9,235,137,1,2023-03-04 08:13:40Z,roja
5,47,120,38,2023-01-15 08:45:45Z,roja
6,451,115,39,2023-02-08 01:05:40Z,roja
3,24,36,43,2023-03-07 14:33:09Z,verde
2,165,77,6,2023-03-10 12:38:54Z,amarilla
7,436,188,14,2023-03-29 00:10:35Z,roja
9,439,134,8,2023-01-30 19:08:12Z,roja
6,462,72,16,2023-01-23 10:31:02Z,amarilla
3,205,152,30,2023-02-01 20:31:58Z,roja
3,13,152,2,2023-02-19 07:48:45Z,roja
7,376,57,3,2023-02-17 19:41:03Z,amarilla
3,492,121,3,2023-03-17 13:15:40Z,roja
1,108,90,44,2023-01-17 01:13:13Z,amarilla
5,382,233,41,2023-01-23 11:39:16Z,roja
5,78,192,25,2023-02-11 15:13:30Z,roja
6,155,110,38,2023-03-03 16:37:48Z,roja
4,138,202,24,2023-04-07 09:45:00Z,roja
7,387,99,27,2023-03-17 16:32:58Z,amarilla
